Event Name,Venue Name,Event Date,Section,Row,Notes,Stock Type,Quantity,Price
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",311,10,mobile,Electronic Transfer,2,73.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",317,6,XFER,Electronic Transfer,2,73.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",327,1,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,75.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",309,10,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,75.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",307,9,XFER,Electronic Transfer,2,75.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",307,6,XFER,Electronic Transfer,2,76.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",309,10,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,76.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",326,9,XFER,Electronic Transfer,2,76.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",309,9,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,77.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",315,6,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,77.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",322,6,XFER,Electronic Transfer,2,78.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",320,1,mobile,Electronic Transfer,2,80.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",328,5,XFER,Electronic Transfer,2,81.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",316,6,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,81.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",322,10,Seats 7 - 8. XFER Mobile Entry. Scan your tickets from your mobile phone for this event.,Electronic Transfer,2,82.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",322,1,XFER,Electronic Transfer,2,85.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",331,4,Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed). XFER,Electronic Transfer,2,85.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",322,3,Mobile Entry Tickets. Must have smart device on hand to enter event.,Electronic Transfer,4,87.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",306,9,Seats 16 - 17. XFER Mobile Entry. Scan your tickets from your mobile phone for this event.,Electronic Transfer,2,87.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",304,1,Seats 2 - 3. XFER Mobile Entry. Scan your tickets from your mobile phone for this event.,Electronic Transfer,2,92.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",317,2,mobile,Electronic Transfer,4,93.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",304,1,Seats 11 - 12. XFER Mobile Entry. Scan your tickets from your mobile phone for this event.,Electronic Transfer,2,94.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",308,8,XFER,Electronic Transfer,4,97.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",308,10,Seats 3 - 4. Mobile Entry Tickets. Must have smart device on hand to enter event. xfer Mobile Tickets: You will need to set up a separate account to access your tickets (instructions will be emailed).. Ready to ship by 2/5/2021,Electronic Transfer,2,99.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",123,33,mobile,Electronic Transfer,4,103.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",303,1,Elite Seller - Has established a reputation for speedy confirmation and on-time delivery of orders!,Electronic Transfer,2,104.00
Miami Heat vs. Washington Wizards,AmericanAirlines Arena,"Fri, Feb 05 2021 8:00 PM",102,30,Seats 9 - 12. XFER Mobile Entry Tickets. Must have smart device on hand to enter event.,Electronic Transfer,4,105.00
